idx,lat,lon,depth_m
12,63.440575778339856,10.350146218096839,0.0
14,63.440577973414605,10.350347067436525,0.0
16,63.44058016848935,10.35054791677621,0.0
18,63.440581300933005,10.350748807130282,0.0
20,63.44058220588407,10.350949706264888,0.0
22,63.44058311083513,10.351150605399495,0.0
24,63.44058333333333,10.351351512222243,0.0
26,63.44058333333333,10.351552421551533,0.0
28,63.44058333333333,10.351753330880824,0.0
30,63.440591839207855,10.351948579508926,0.0
32,63.44064095177986,10.352116804180849,0.0
34,63.44069006435188,10.35228502885277,0.0
36,63.44073917692387,10.352453253524688,0.0
38,63.44078828949588,10.352621478196609,0.0
40,63.44083754530039,10.352789491973077,0.0
42,63.440887225077546,10.352956881492489,0.0
44,63.44093690485469,10.3531242710119,0.0
46,63.440986584631844,10.353291660531312,0.0
48,63.441036264409,10.353459050050725,0.0
50,63.44108594418614,10.353626439570137,0.0
52,63.44113555432862,10.353793930231495,0.0
54,63.441183723850756,10.35396351334368,0.0
56,63.441231893372894,10.354133096455866,0.0
58,63.44128006289503,10.354302679568052,0.0
60,63.44132823241717,10.354472262680238,0.0
62,63.441385217515695,10.354627193638116,0.0
64,63.441443926461346,10.354779259431774,0.0
66,63.441502635407,10.354931325225431,0.0
68,63.44156447300627,10.355077040152624,0.0
70,63.441640348270234,10.35517669259886,0.0
72,63.441723661113905,10.355251829883102,0.0
74,63.441806973957576,10.355326967167343,0.0
76,63.44189028680124,10.355402104451587,0.0
78,63.44197359964491,10.355477241735828,0.0
80,63.44205691248858,10.35555237902007,0.0
82,63.44214022533224,10.355627516304313,0.0
84,63.442226102996685,10.355683044354784,0.0
86,63.44231438721042,10.35572017322972,0.0
88,63.442402671424155,10.355757302104658,0.0
90,63.44249095563789,10.355794430979593,0.0
92,63.44257923985164,10.35583155985453,0.0
94,63.44266752406536,10.355868688729464,0.0
96,63.44275580827911,10.3559058176044,0.0
98,63.44284331584253,10.355876765488924,0.0
