idx,lat,lon,depth_m
12,63.440575778339856,10.350146218096839,31.401011741087316
14,63.440577973414605,10.350347067436525,35.35214629228093
16,63.44058016848935,10.35054791677621,39.30328084347454
18,63.440581300933005,10.350748807130282,42.68335886943188
20,63.44058220588407,10.350949706264888,45.94118267386518
22,63.44058311083513,10.351150605399495,49.199006478298486
24,63.44058333333333,10.351351512222243,52.10596139024121
26,63.44058333333333,10.351552421551533,54.89852349620669
28,63.44058333333333,10.351753330880824,57.69108560217217
30,63.440591839207855,10.351948579508926,60.21118033315641
32,63.44064095177986,10.352116804180849,61.430526948420244
34,63.44069006435188,10.35228502885277,62.649873563684075
36,63.44073917692387,10.352453253524688,63.86922017894791
38,63.44078828949588,10.352621478196609,65.08856679421174
40,63.44083754530039,10.352789491973077,66.5696244500196
42,63.440887225077546,10.352956881492489,68.82535487204275
44,63.44093690485469,10.3531242710119,71.08108529406591
46,63.440986584631844,10.353291660531312,73.33681571608906
48,63.441036264409,10.353459050050725,75.59254613811221
50,63.44108594418614,10.353626439570137,77.84827656013535
52,63.44113555432862,10.353793930231495,80.05476426728042
54,63.441183723850756,10.35396351334368,81.24250590904826
56,63.441231893372894,10.354133096455866,82.4302475508161
58,63.44128006289503,10.354302679568052,83.61798919258395
60,63.44132823241717,10.354472262680238,84.80573083435179
62,63.441385217515695,10.354627193638116,86.4490414468917
64,63.441443926461346,10.354779259431774,88.18143656451298
66,63.441502635407,10.354931325225431,89.91383168213427
68,63.44156447300627,10.355077040152624,90.0
70,63.441640348270234,10.35517669259886,90.91240080775313
72,63.441723661113905,10.355251829883102,92.31392528066398
74,63.441806973957576,10.355326967167343,93.71544975357483
76,63.44189028680124,10.355402104451587,95.11697422648568
78,63.44197359964491,10.355477241735828,96.51849869939653
80,63.44205691248858,10.35555237902007,97.92002317230738
82,63.44214022533224,10.355627516304313,99.32154764521823
84,63.442226102996685,10.355683044354784,100.68959677226489
86,63.44231438721042,10.35572017322972,102.02623626995472
88,63.442402671424155,10.355757302104658,103.36287576764457
90,63.44249095563789,10.355794430979593,104.6995152653344
92,63.44257923985164,10.35583155985453,106.03615476302423
94,63.44266752406536,10.355868688729464,107.37279426071406
96,63.44275580827911,10.3559058176044,108.70943375840389
98,63.44284331584253,10.355876765488924,109.47447659126803
