timestamp_utc,elapsed_s,event_type,ref_idx,ref_name,lat_deg,lon_deg,depth_m,followref_state,detail
2026-03-10T15:22:45.005633+00:00,8.95,start_position_locked,-1,,63.4407274,10.352581,0.024,,
2026-03-10T15:22:45.007809+00:00,8.95,mission_built,-1,,,,,,n_waypoints=17 dive_depth=25.2m (pipe=30.2m - alt=5.0m) side=right offset=20.0m
2026-03-10T15:22:46.458078+00:00,10.4,followref_state_change,0,,63.44072747,10.352581,0.031,StateEnum.WAIT,prev=None -> now=StateEnum.WAIT proximity=1
2026-03-10T15:22:46.464072+00:00,10.4,reference_sent,0,DIVE,63.44036114,10.34983434,25.22,StateEnum.WAIT,final=False z_mode=depth depth=25.2m
2026-03-10T15:22:46.464859+00:00,10.41,followref_state_change,0,,63.44072747,10.352581,0.031,StateEnum.GOTO,prev=StateEnum.WAIT -> now=StateEnum.GOTO proximity=1
2026-03-10T15:24:09.169362+00:00,93.11,sidescan_on,1,,63.44039891,10.35011284,25.307,,active=True
2026-03-10T15:24:09.172056+00:00,93.11,reference_sent,1,PIPE0,63.44039571,10.35008999,30.22,StateEnum.GOTO,final=False z_mode=sim_depth sim_depth=25.2m (pipe=30.2m - alt=5.0m)
2026-03-10T15:24:09.172611+00:00,93.11,followref_state_change,1,,63.44039891,10.35011284,25.307,StateEnum.LOITER,prev=StateEnum.GOTO -> now=StateEnum.LOITER proximity=6
2026-03-10T15:24:09.175326+00:00,93.12,reference_sent,2,PIPE1,63.44040442,10.35203,59.93,StateEnum.LOITER,final=False z_mode=sim_depth sim_depth=54.9m (pipe=59.9m - alt=5.0m)
2026-03-10T15:24:09.176171+00:00,93.12,followref_state_change,2,,63.44039891,10.35011284,25.307,StateEnum.GOTO,prev=StateEnum.LOITER -> now=StateEnum.GOTO proximity=1
2026-03-10T15:25:09.222592+00:00,153.16,reference_sent,3,PIPE2,63.44119446,10.35473874,85.06,StateEnum.GOTO,final=False z_mode=sim_depth sim_depth=80.1m (pipe=85.1m - alt=5.0m)
2026-03-10T15:26:39.312259+00:00,243.25,reference_sent,4,PIPE3,63.44148336,10.35545533,90.07,StateEnum.GOTO,final=False z_mode=sim_depth sim_depth=85.1m (pipe=90.1m - alt=5.0m)
2026-03-10T15:27:06.330310+00:00,270.27,reference_sent,5,PIPE4,63.4421291,10.35603636,100.02,StateEnum.GOTO,final=False z_mode=sim_depth sim_depth=95.0m (pipe=100.0m - alt=5.0m)
2026-03-10T15:27:50.368389+00:00,314.31,reference_sent,6,PIPE5,63.44277513,10.35630785,108.98,StateEnum.GOTO,final=False z_mode=sim_depth sim_depth=104.0m (pipe=109.0m - alt=5.0m)
2026-03-10T15:28:32.416356+00:00,356.36,reference_sent,7,PIPE6,63.44368109,10.35581791,114.99,StateEnum.GOTO,final=False z_mode=sim_depth sim_depth=110.0m (pipe=115.0m - alt=5.0m)
2026-03-10T15:29:30.472363+00:00,414.41,reference_sent,8,PIPE7,63.44443009,10.35530119,120.0,StateEnum.GOTO,final=False z_mode=sim_depth sim_depth=115.0m (pipe=120.0m - alt=5.0m)
2026-03-10T15:30:19.521863+00:00,463.46,reference_sent,9,PIPE8,63.44504175,10.35459786,124.94,StateEnum.GOTO,final=False z_mode=sim_depth sim_depth=119.9m (pipe=124.9m - alt=5.0m)
2026-03-10T15:31:02.553528+00:00,506.49,reference_sent,10,PIPE9,63.44583208,10.35320574,110.0,StateEnum.GOTO,final=False z_mode=sim_depth sim_depth=105.0m (pipe=110.0m - alt=5.0m)
2026-03-10T15:32:05.607403+00:00,569.55,reference_sent,11,PIPE10,63.44653957,10.35254366,110.01,StateEnum.GOTO,final=False z_mode=sim_depth sim_depth=105.0m (pipe=110.0m - alt=5.0m)
