timestamp_utc,elapsed_s,event_type,ref_idx,ref_name,lat_deg,lon_deg,depth_m,followref_state,detail
2026-03-09T11:37:51.954839+00:00,9.49,start_position_locked,-1,,63.44072741,10.352581,0.026,,
2026-03-09T11:37:51.956848+00:00,9.5,mission_built,-1,,,,,,n_waypoints=14 dive_depth=25.0m (pipe=30.0m - alt=5.0m) side=right offset=20.0m
2026-03-09T11:37:52.805708+00:00,10.35,followref_state_change,0,,63.44072745,10.35258102,0.063,StateEnum.WAIT,prev=None -> now=StateEnum.WAIT proximity=1
2026-03-09T11:37:52.807620+00:00,10.35,reference_sent,0,DIVE,63.44036496,10.34985789,25.0,StateEnum.WAIT,final=False z_mode=depth depth=25.0m
2026-03-09T11:37:52.807828+00:00,10.35,followref_state_change,0,,63.44072745,10.35258102,0.063,StateEnum.GOTO,prev=StateEnum.WAIT -> now=StateEnum.GOTO proximity=1
2026-03-09T11:39:14.561072+00:00,92.1,sidescan_on,1,,63.44040421,10.35014797,25.132,,active=True
2026-03-09T11:39:14.562246+00:00,92.1,reference_sent,1,PIPE0,63.44039563,10.35008479,30.0,StateEnum.GOTO,final=False z_mode=altitude alt=5.0m
2026-03-09T11:39:14.562503+00:00,92.1,followref_state_change,1,,63.44040421,10.35014797,25.132,StateEnum.ELEVATOR,prev=StateEnum.GOTO -> now=StateEnum.ELEVATOR proximity=2
2026-03-09T11:43:05.782671+00:00,323.32,followref_state_change,1,,63.44038434,10.34992213,114.072,StateEnum.LOITER,prev=StateEnum.ELEVATOR -> now=StateEnum.LOITER proximity=6
2026-03-09T11:43:05.783352+00:00,323.32,reference_sent,2,PIPE1,63.44040115,10.35058888,40.0,StateEnum.LOITER,final=False z_mode=altitude alt=5.0m
2026-03-09T11:43:05.783555+00:00,323.32,followref_state_change,2,,63.44038434,10.34992213,114.072,StateEnum.GOTO,prev=StateEnum.LOITER -> now=StateEnum.GOTO proximity=4
2026-03-09T11:43:20.802759+00:00,338.34,reference_sent,3,PIPE2,63.4404039,10.351199,50.0,StateEnum.GOTO,final=False z_mode=altitude alt=5.0m
2026-03-09T11:43:36.816726+00:00,354.36,reference_sent,4,PIPE3,63.44040389,10.35203373,60.0,StateEnum.GOTO,final=False z_mode=altitude alt=5.0m
2026-03-09T11:44:00.839607+00:00,378.38,reference_sent,5,PIPE4,63.44067477,10.35296043,66.0,StateEnum.GOTO,final=False z_mode=altitude alt=5.0m
2026-03-09T11:44:30.870816+00:00,408.41,reference_sent,6,PIPE5,63.44098205,10.35399449,80.0,StateEnum.GOTO,final=False z_mode=altitude alt=5.0m
2026-03-09T11:45:05.894722+00:00,443.43,reference_sent,7,PIPE6,63.44119062,10.35472791,85.0,StateEnum.GOTO,final=False z_mode=altitude alt=5.0m
2026-03-09T11:45:29.923973+00:00,467.46,reference_sent,8,PIPE7,63.44137132,10.3551954,90.0,StateEnum.GOTO,final=False z_mode=altitude alt=5.0m
2026-03-09T11:45:46.941026+00:00,484.48,reference_sent,9,PIPE8,63.44148159,10.35545366,90.0,StateEnum.GOTO,final=False z_mode=altitude alt=5.0m
2026-03-09T11:45:56.956335+00:00,494.5,reference_sent,10,PIPE9,63.44212766,10.35603573,100.0,StateEnum.GOTO,final=False z_mode=altitude alt=5.0m
2026-03-09T11:46:39.990393+00:00,537.53,reference_sent,11,PIPE10,63.44277673,10.3563085,109.0,StateEnum.GOTO,final=False z_mode=altitude alt=5.0m
2026-03-09T11:47:21.029059+00:00,578.57,reference_sent,12,PIPE11,63.44368236,10.35581718,115.0,StateEnum.GOTO,final=False z_mode=altitude alt=5.0m
2026-03-09T11:48:18.075474+00:00,635.62,reference_sent,13,PIPE12,63.44441444,10.35531221,120.0,StateEnum.GOTO,final=True z_mode=altitude alt=5.0m
2026-03-09T11:49:06.136500+00:00,683.68,sidescan_off,13,,63.44429016,10.35539512,115.043,,active=False
2026-03-09T11:49:06.136879+00:00,683.68,popup_started,-1,,,,,StateEnum.GOTO,duration=30s timeout=120s
