timestamp_utc,elapsed_s,event_type,ref_idx,ref_name,lat_deg,lon_deg,depth_m,followref_state,detail
2026-03-10T17:51:42.444937+00:00,18.42,start_position_locked,-1,,63.44072739,10.352581,0.003,,
2026-03-10T17:51:42.446336+00:00,18.42,mission_built,-1,,,,,,n_waypoints=86 dive_depth=25.2m (pipe=30.2m - alt=5.0m) side=right offset=20.0m
2026-03-10T17:51:44.398897+00:00,20.38,followref_state_change,0,,63.4407275,10.35258101,0.001,StateEnum.WAIT,prev=None -> now=StateEnum.WAIT proximity=1
2026-03-10T17:51:44.403904+00:00,20.38,reference_sent,0,DIVE,63.44036047,10.3498353,25.216,StateEnum.WAIT,final=False z_mode=depth depth=25.2m
2026-03-10T17:51:44.404135+00:00,20.38,followref_state_change,0,,63.4407275,10.35258101,0.001,StateEnum.GOTO,prev=StateEnum.WAIT -> now=StateEnum.GOTO proximity=1
2026-03-10T17:53:07.149105+00:00,103.13,sidescan_on,1,,63.44039938,10.35012185,25.342,,active=True
2026-03-10T17:53:07.150533+00:00,103.13,reference_sent,1,PIPE0,63.44039575,10.35009576,30.216,StateEnum.GOTO,final=False z_mode=sim_depth sim_depth=25.2m (pipe=30.2m - alt=5.0m)
2026-03-10T17:53:07.150761+00:00,103.13,followref_state_change,1,,63.44039938,10.35012185,25.342,StateEnum.LOITER,prev=StateEnum.GOTO -> now=StateEnum.LOITER proximity=6
2026-03-10T17:53:07.151404+00:00,103.13,reference_sent,2,PIPE1,63.44040011,10.35049418,38.118,StateEnum.LOITER,final=False z_mode=sim_depth sim_depth=33.1m (pipe=38.1m - alt=5.0m)
2026-03-10T17:53:07.151566+00:00,103.13,followref_state_change,2,,63.44039938,10.35012185,25.342,StateEnum.GOTO,prev=StateEnum.LOITER -> now=StateEnum.GOTO proximity=1
2026-03-10T17:53:20.154014+00:00,116.13,followref_state_change,2,,63.44035467,10.35022465,25.837,StateEnum.ELEVATOR,prev=StateEnum.GOTO -> now=StateEnum.ELEVATOR proximity=2
2026-03-10T17:53:37.175970+00:00,133.15,followref_state_change,2,,63.44045141,10.35061542,32.387,StateEnum.LOITER,prev=StateEnum.ELEVATOR -> now=StateEnum.LOITER proximity=6
