timestamp_utc,elapsed_s,event_type,ref_idx,ref_name,lat_deg,lon_deg,depth_m,followref_state,detail
2026-03-09T10:42:38.054524+00:00,8.83,start_position_locked,-1,,63.4407274,10.352581,0.093,,
2026-03-09T10:42:38.056982+00:00,8.84,mission_built,-1,,,,,,n_waypoints=14 dive_depth=30.0m side=right offset=20.0m
2026-03-09T10:42:39.505540+00:00,10.28,followref_state_change,0,,63.44072747,10.352581,0.033,StateEnum.WAIT,prev=None -> now=StateEnum.WAIT proximity=1
2026-03-09T10:42:39.511949+00:00,10.29,reference_sent,0,DIVE,63.44029246,10.34931328,30.0,StateEnum.WAIT,final=False
2026-03-09T10:42:39.512259+00:00,10.29,followref_state_change,0,,63.44072747,10.352581,0.033,StateEnum.GOTO,prev=StateEnum.WAIT -> now=StateEnum.GOTO proximity=1
2026-03-09T10:44:18.326709+00:00,109.11,reference_sent,1,PIPE0,63.44039563,10.35008479,30.0,StateEnum.GOTO,final=False
2026-03-09T10:44:37.339733+00:00,128.12,reference_sent,2,PIPE1,63.44040115,10.35058888,40.0,StateEnum.GOTO,final=False
2026-03-09T10:44:52.360151+00:00,143.14,reference_sent,3,PIPE2,63.4404039,10.351199,50.0,StateEnum.GOTO,final=False
2026-03-09T10:45:09.373157+00:00,160.15,reference_sent,4,PIPE3,63.44040389,10.35203373,60.0,StateEnum.GOTO,final=False
2026-03-09T10:45:33.395232+00:00,184.17,reference_sent,5,PIPE4,63.44067477,10.35296043,66.0,StateEnum.GOTO,final=False
2026-03-09T10:46:05.427967+00:00,216.21,reference_sent,6,PIPE5,63.44098205,10.35399449,80.0,StateEnum.GOTO,final=False
2026-03-09T10:46:40.464734+00:00,251.24,reference_sent,7,PIPE6,63.44119062,10.35472791,85.0,StateEnum.GOTO,final=False
2026-03-09T10:47:05.480855+00:00,276.26,reference_sent,8,PIPE7,63.44137132,10.3551954,90.0,StateEnum.GOTO,final=False
2026-03-09T10:47:22.498694+00:00,293.28,reference_sent,9,PIPE8,63.44148159,10.35545366,90.0,StateEnum.GOTO,final=False
2026-03-09T10:47:32.505945+00:00,303.29,reference_sent,10,PIPE9,63.44212766,10.35603573,100.0,StateEnum.GOTO,final=False
